iter	Logloss
0	0.6813892429
1	0.6715190696
2	0.6603928489
3	0.6494085869
4	0.6413203097
5	0.6334598303
6	0.6242885905
7	0.6171196975
8	0.6090793294
9	0.6012873789
10	0.5947135782
11	0.5881611093
12	0.5811453741
13	0.5758848133
14	0.5694537824
15	0.5655667717
16	0.5607869323
17	0.5559492618
18	0.550814837
19	0.5466766723
20	0.5418594883
21	0.537380456
22	0.5336346398
23	0.5302851213
24	0.5275285846
25	0.5251105989
26	0.5222157804
27	0.5194957573
28	0.5162865446
29	0.5135835577
30	0.5108804955
31	0.5079282157
32	0.5055945636
33	0.5030646299
34	0.50037341
35	0.4980042954
36	0.4954922259
37	0.4932834143
38	0.491361248
39	0.4892317725
40	0.4872262528
41	0.4854767627
42	0.483994523
43	0.4814584096
44	0.4792321899
45	0.4774730526
46	0.4759554902
47	0.4742142656
48	0.4722117172
49	0.4706471485
50	0.4691712578
51	0.4678740143
52	0.4664498418
53	0.4651970087
54	0.4640080676
55	0.4625096112
56	0.4611353047
57	0.4598262341
58	0.4587773706
59	0.4579675727
60	0.4570553194
61	0.4558418644
62	0.4547316609
63	0.4536971722
64	0.4527479104
65	0.4518908864
66	0.4511709626
67	0.450509939
68	0.4496323174
69	0.4487179055
70	0.4477222237
71	0.4472245735
72	0.4462905372
73	0.44546573
74	0.4448680896
75	0.4440951656
76	0.4432809095
77	0.4423183709
78	0.4415333389
79	0.4406771445
80	0.4401189979
81	0.4396290459
82	0.4390786081
83	0.4381851679
84	0.4375927016
85	0.4370408033
86	0.4365251232
87	0.4362055022
88	0.4355965528
89	0.4351087379
90	0.4346121422
91	0.4341562264
92	0.4335883059
93	0.4329688777
94	0.4325351425
95	0.4318798782
96	0.4314130827
97	0.4310817894
98	0.4303841132
99	0.4297305343
100	0.4292215682
101	0.4285811314
102	0.4283830461
103	0.4279383046
104	0.4276309816
105	0.4273343424
106	0.4269205845
107	0.4264362166
108	0.4259301821
109	0.4253666927
110	0.4249130136
111	0.4243809944
112	0.4239495785
113	0.4237014364
114	0.4234127645
115	0.422975917
116	0.422483183
117	0.4222647866
118	0.4218426182
119	0.4214811225
120	0.4211598017
121	0.4207293333
122	0.4202739714
123	0.4200379741
124	0.4198464674
125	0.4197119331
126	0.4193395245
127	0.4190146298
128	0.4187267751
129	0.4183136758
130	0.4180838929
131	0.4178212373
132	0.4175495788
133	0.4170637842
134	0.4161597865
135	0.4159227524
136	0.4156134875
137	0.4153726319
138	0.4151803541
139	0.414766839
140	0.4144703483
141	0.4141737188
142	0.4138502662
143	0.4135965005
144	0.4133751254
145	0.4129980277
146	0.412734225
147	0.4121819619
148	0.4120214654
149	0.4118089665
150	0.4115834218
151	0.4113928362
152	0.4112260855
153	0.4110489871
154	0.4108574962
155	0.4104047222
156	0.4101806878
157	0.4100031523
158	0.409865877
159	0.4097643309
160	0.4096887255
161	0.4094743404
162	0.4093984247
163	0.409206706
164	0.4090825503
165	0.4089859579
166	0.4087732754
167	0.4086710933
168	0.408295009
169	0.4080371924
170	0.4077338631
171	0.4074990554
172	0.4073872648
173	0.40726226
174	0.4070312069
175	0.406821681
176	0.4066373489
177	0.4065683629
178	0.4063886962
179	0.4061833215
180	0.4057853074
181	0.4056648063
182	0.4055237043
183	0.4054732554
184	0.4052392927
185	0.405118535
186	0.4047555519
187	0.4046822407
188	0.4045990279
189	0.4043434162
190	0.4041539698
191	0.4040369236
192	0.4038590255
193	0.4033829249
194	0.4031899017
195	0.4030422683
196	0.4029954505
197	0.4029087781
198	0.4026979466
199	0.402632308
200	0.4025894367
201	0.4024522995
202	0.4023297084
203	0.402187979
204	0.4021204625
205	0.40208248
206	0.4020357835
207	0.4019173673
208	0.4018491835
209	0.4017579353
210	0.401715321
211	0.4016585722
212	0.401468086
213	0.4014240623
214	0.4013598054
215	0.4012174559
216	0.4010910968
217	0.40079165
218	0.4007570495
219	0.4006770559
220	0.400444814
221	0.4003623991
222	0.4001325338
223	0.3999525288
224	0.3998507105
225	0.399657048
226	0.3993705834
227	0.3991832633
228	0.3990934513
229	0.3990241984
230	0.3988970554
231	0.3988017976
232	0.3987524062
233	0.398585723
234	0.398540494
235	0.398496905
236	0.3984399304
237	0.3983905238
238	0.3982649004
239	0.398144841
240	0.3979772944
241	0.397884582
242	0.3977930821
243	0.397729
244	0.3976203907
245	0.3975801177
246	0.3974207117
247	0.3973768945
248	0.3973453413
249	0.3972654629
250	0.3971994521
251	0.3970818632
252	0.396966015
253	0.3969071676
254	0.39687972
255	0.3967341661
256	0.3966586511
257	0.3965880575
258	0.3964477369
259	0.3963255737
260	0.3962807426
261	0.3960842494
262	0.3959269393
263	0.3958844438
264	0.395822501
265	0.395762183
266	0.3956986168
267	0.3955657367
268	0.3955286253
269	0.3953546651
270	0.3952768582
271	0.3951732199
272	0.395106948
273	0.3947971328
274	0.3947520082
275	0.3946662415
276	0.3945864028
277	0.3944514361
278	0.3942390505
279	0.3942025407
280	0.3941054374
281	0.3938427713
282	0.3937407144
283	0.3936151765
284	0.3935143957
285	0.3933908883
286	0.3933008845
287	0.3932672111
288	0.3931646497
289	0.3930710655
290	0.393009889
291	0.3929839358
292	0.392918838
293	0.3927017503
294	0.3926475416
295	0.3924746978
296	0.3924255781
297	0.39235858
298	0.3922439422
299	0.3921545821
300	0.3920945732
301	0.3920457268
302	0.3920210421
303	0.391964974
304	0.3918447741
305	0.3917234827
306	0.391628934
307	0.3915663762
308	0.3913896037
309	0.3913604751
310	0.3913150346
311	0.3912020284
312	0.3910711886
313	0.3910210951
314	0.3909574159
315	0.3908909863
316	0.3908391711
317	0.3907251857
318	0.390669144
319	0.3906477882
320	0.3905740616
321	0.3903599388
322	0.3902243985
323	0.3901556187
324	0.3900698563
325	0.3899394678
326	0.3899119786
327	0.3898688159
328	0.3898158301
329	0.3895604574
330	0.3895078796
331	0.3894569326
332	0.3894160454
333	0.3893690125
334	0.389314279
335	0.3892593623
336	0.389189137
337	0.389159928
338	0.3891078002
339	0.389010809
340	0.3889489832
341	0.3889229635
342	0.388879168
343	0.3888141504
344	0.3887526356
345	0.3887031647
346	0.3886426116
347	0.3885910276
348	0.3885436994
349	0.3885202118
350	0.3884560559
351	0.3884144158
352	0.3883399558
353	0.3883101485
354	0.38822201
355	0.388193787
356	0.3881571715
357	0.3880642823
358	0.3880247159
359	0.3879198712
360	0.3878344978
361	0.3877947211
362	0.3877453263
363	0.3876201346
364	0.3875628742
365	0.3874830099
366	0.3873308297
367	0.3872424167
368	0.3871789434
369	0.3871058504
370	0.3870189744
371	0.3869331653
372	0.3868972861
373	0.3868710948
374	0.3868370437
375	0.3867772931
376	0.3866927543
377	0.3866289266
378	0.3865669208
379	0.3865045105
380	0.3864526936
381	0.3863939906
382	0.3863333954
383	0.3862770074
384	0.3861800332
385	0.3861341875
386	0.3860800551
387	0.3858447285
388	0.3857653109
389	0.3857078039
390	0.3856555309
391	0.3856120325
392	0.3855718669
393	0.3855015817
394	0.3854560149
395	0.3852220317
396	0.3851705381
397	0.3851133483
398	0.3850435249
399	0.3849983754
400	0.3848942012
401	0.3848371489
402	0.3847755374
403	0.3847011607
404	0.3846537661
405	0.3845993069
406	0.3845495963
407	0.3844951791
408	0.3844275582
409	0.3843591002
410	0.3842962524
411	0.3841115392
412	0.3840346819
413	0.3839685413
414	0.3839359609
415	0.3838908467
416	0.3838315402
417	0.3837818289
418	0.3837325032
419	0.3836659035
420	0.3836317809
421	0.3835716411
422	0.3835347445
