iter	Passed	Remaining
0	54	54112
1	59	29699
2	64	21495
3	70	17567
4	75	15005
5	80	13286
6	85	12103
7	90	11192
8	95	10497
9	100	9958
10	105	9498
11	111	9147
12	116	8842
13	122	8612
14	127	8378
15	132	8164
16	138	8020
17	145	7920
18	151	7827
19	157	7731
20	164	7660
21	170	7580
22	177	7532
23	183	7466
24	190	7423
25	196	7377
26	203	7336
27	210	7309
28	217	7293
29	224	7262
30	231	7244
31	238	7203
32	245	7183
33	251	7138
34	257	7112
35	264	7070
36	270	7052
37	276	7011
38	285	7024
39	291	6998
40	298	6987
41	305	6960
42	311	6942
43	318	6927
44	325	6907
45	331	6874
46	338	6856
47	344	6822
48	350	6810
49	356	6780
50	363	6761
51	369	6733
52	375	6716
53	382	6693
54	388	6682
55	394	6654
56	401	6643
57	407	6621
58	414	6613
59	420	6587
60	427	6582
61	433	6559
62	440	6548
63	446	6528
64	453	6520
65	459	6500
66	465	6487
67	471	6465
68	478	6451
69	484	6431
70	490	6413
71	496	6394
72	502	6376
73	508	6361
74	514	6347
75	521	6334
76	527	6318
77	534	6320
78	541	6309
79	548	6306
80	554	6294
81	561	6282
82	567	6272
83	574	6262
84	580	6250
85	586	6235
86	592	6222
87	599	6208
88	604	6192
89	610	6177
90	617	6164
91	623	6154
92	629	6141
93	636	6130
94	642	6120
95	649	6113
96	655	6105
97	663	6104
98	669	6093
99	676	6088
100	683	6082
101	691	6084
102	697	6073
103	704	6071
104	711	6063
105	718	6060
106	725	6055
107	733	6055
108	740	6052
109	747	6049
110	755	6051
111	762	6045
112	770	6046
113	777	6041
114	784	6040
115	791	6030
116	798	6026
117	805	6019
118	812	6013
119	819	6006
120	825	5995
121	831	5985
122	837	5974
123	844	5968
124	850	5956
125	857	5944
126	864	5939
127	870	5932
128	877	5924
129	884	5918
130	891	5910
131	898	5906
132	905	5902
133	913	5904
134	920	5897
135	929	5902
136	936	5897
137	943	5893
138	951	5893
139	958	5886
140	966	5885
141	972	5875
142	979	5870
143	985	5859
144	992	5854
145	999	5845
146	1006	5839
147	1012	5829
148	1019	5822
149	1025	5811
150	1032	5803
151	1038	5794
152	1045	5786
153	1051	5777
154	1058	5768
155	1064	5757
156	1070	5749
157	1076	5738
158	1083	5731
159	1089	5720
160	1095	5708
161	1101	5696
162	1108	5689
163	1113	5678
164	1120	5671
165	1126	5661
166	1133	5652
167	1139	5641
168	1145	5632
